invoice_id,order_id,customer_id,invoice_number,invoice_date,due_date,paid_date,amount_due,tax_amount,discount_amount,late_fee_charged,amount_paid,payment_status,payment_method,credit_terms,billing_currency,fiscal_year,fiscal_period,internal_gl_code,billing_address_id,is_disputed
INV-0983490-6D5C,ORD-0983490-5AC8,CUST-149939-949C,INV-2026-983490,2024-09-24 11:35:54,2024-10-24 11:35:54,2024-10-04 11:35:54,585.36,46.83,0.00,0.00,632.19,Paid,ACH,Net 30,USD,2024,09,GL-REV-983490,ADDR-983490,FALSE
INV-0983491-5522,ORD-0983491-4461,CUST-072987-33C4,INV-2026-983491,2026-03-10 07:30:31,2026-04-09 07:30:31,2026-03-20 07:30:31,1449.74,115.98,0.00,0.00,1565.72,Paid,ACH,Net 30,USD,2026,03,GL-REV-983491,ADDR-983491,FALSE
INV-0983492-1FEE,ORD-0983492-AEF9,CUST-188611-81D3,INV-2026-983492,2026-04-17 06:03:23,2026-05-17 06:03:23,2026-04-27 06:03:23,1211.32,96.91,0.00,0.00,1308.23,Paid,ACH,Net 30,USD,2026,04,GL-REV-983492,ADDR-983492,FALSE
INV-0983493-C191,ORD-0983493-33E2,CUST-136389-A782,INV-2026-983493,2026-06-24 08:42:04,2026-07-24 08:42:04,2026-07-04 08:42:04,1305.15,104.41,0.00,0.00,1409.56,Paid,ACH,Net 30,USD,2026,06,GL-REV-983493,ADDR-983493,FALSE
INV-0983494-459F,ORD-0983494-B6C9,CUST-198861-2A40,INV-2026-983494,2025-01-30 20:19:52,2025-03-01 20:19:52,2025-02-09 20:19:52,618.41,49.47,0.00,0.00,667.88,Paid,ACH,Net 30,USD,2025,01,GL-REV-983494,ADDR-983494,FALSE
INV-0983495-20F1,ORD-0983495-7BE6,CUST-487108-62C4,INV-2026-983495,2024-11-17 18:45:55,2024-12-17 18:45:55,2024-11-27 18:45:55,78.78,6.3,0.00,0.00,85.08,Paid,ACH,Net 30,USD,2024,11,GL-REV-983495,ADDR-983495,FALSE
INV-0983496-20AD,ORD-0983496-B5F0,CUST-432213-CAAB,INV-2026-983496,2024-09-09 07:10:15,2024-10-09 07:10:15,,1371.59,109.73,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2024,09,GL-REV-983496,ADDR-983496,FALSE
INV-0983497-449F,ORD-0983497-66CA,CUST-169870-F56F,INV-2026-983497,2025-02-02 02:07:52,2025-03-04 02:07:52,2025-02-12 02:07:52,1326.79,106.14,0.00,0.00,1432.93,Paid,ACH,Net 30,USD,2025,02,GL-REV-983497,ADDR-983497,FALSE
INV-0983498-107C,ORD-0983498-05EF,CUST-065915-B5E5,INV-2026-983498,2024-08-25 12:03:33,2024-09-24 12:03:33,2024-09-04 12:03:33,1057.3,84.58,0.00,0.00,1141.88,Paid,ACH,Net 30,USD,2024,08,GL-REV-983498,ADDR-983498,FALSE
INV-0983499-39CE,ORD-0983499-8490,CUST-025020-39E9,INV-2026-983499,2025-06-30 20:47:38,2025-07-30 20:47:38,2025-07-10 20:47:38,420.78,33.66,0.00,0.00,454.44,Paid,ACH,Net 30,USD,2025,06,GL-REV-983499,ADDR-983499,FALSE
INV-0983500-8862,ORD-0983500-139C,CUST-369663-E071,INV-2026-983500,2025-08-16 03:16:32,2025-09-15 03:16:32,,694.82,55.59,0.00,0.00,0.0,Unpaid,ACH,Net 30,USD,2025,08,GL-REV-983500,ADDR-983500,FALSE
