order_item_id,order_id,product_id,quantity,unit_price,discount_applied
LINE-0532672-1-A985,ORD-0532672-1C27,PROD-00977-47CF,4,133.09,0.00
LINE-0532672-2-5265,ORD-0532672-1C27,PROD-02784-35EB,2,181.73,0.00
LINE-0532672-3-0090,ORD-0532672-1C27,PROD-00240-E6DA,1,132.63,0.00
LINE-0532673-1-4876,ORD-0532673-70B9,PROD-02953-1B61,2,108.64,0.00
LINE-0532674-1-A9D4,ORD-0532674-BD07,PROD-01778-A912,2,52.15,0.00
LINE-0532674-2-77CA,ORD-0532674-BD07,PROD-04795-C930,4,246.09,0.00
LINE-0532675-1-631B,ORD-0532675-B2E8,PROD-04363-FB70,3,224.88,0.00
LINE-0532676-1-D988,ORD-0532676-483D,PROD-00857-544A,1,174.46,0.00
LINE-0532676-2-F22E,ORD-0532676-483D,PROD-02350-5AAE,2,97.82,0.00
LINE-0532677-1-BB75,ORD-0532677-6735,PROD-02184-8098,2,195.59,0.00
LINE-0532677-2-F54D,ORD-0532677-6735,PROD-02452-A428,3,235.79,0.00
LINE-0532677-3-5FD4,ORD-0532677-6735,PROD-01077-FC6D,1,153.53,0.00
LINE-0532678-1-1261,ORD-0532678-4F8E,PROD-02935-2C51,3,126.91,0.00
LINE-0532678-2-ABA6,ORD-0532678-4F8E,PROD-02640-D2B3,3,69.52,0.00
LINE-0532679-1-83CF,ORD-0532679-DC4F,PROD-02053-1C09,1,250.0,0.00
LINE-0532679-2-66F2,ORD-0532679-DC4F,PROD-03150-514C,2,136.69,0.00
LINE-0532679-3-E14D,ORD-0532679-DC4F,PROD-04268-E40D,1,136.82,0.00
LINE-0532680-1-B5FC,ORD-0532680-9492,PROD-03210-0F64,4,80.98,0.00
LINE-0532680-2-F7A0,ORD-0532680-9492,PROD-04865-2D41,3,22.94,0.00
LINE-0532681-1-33A0,ORD-0532681-4A90,PROD-04053-F543,2,199.82,0.00
LINE-0532681-2-CB9E,ORD-0532681-4A90,PROD-04355-B7FC,3,207.33,0.00
LINE-0532681-3-3C03,ORD-0532681-4A90,PROD-04850-63A8,4,28.76,0.00
LINE-0532682-1-A8DC,ORD-0532682-0B0A,PROD-01791-40CC,2,48.14,0.00
LINE-0532682-2-1A3A,ORD-0532682-0B0A,PROD-03288-AC94,1,24.9,0.00
LINE-0532683-1-42B0,ORD-0532683-1F4F,PROD-00676-7642,3,244.51,0.00
LINE-0532684-1-ED43,ORD-0532684-33FE,PROD-00771-2998,4,137.33,0.00
LINE-0532684-2-1B46,ORD-0532684-33FE,PROD-01676-2761,1,41.86,0.00
LINE-0532684-3-23FC,ORD-0532684-33FE,PROD-04308-468A,4,20.02,0.00
LINE-0532685-1-AA8C,ORD-0532685-015C,PROD-02371-B366,4,75.18,0.00
LINE-0532685-2-BD86,ORD-0532685-015C,PROD-03799-BC3B,2,69.37,0.00
LINE-0532686-1-9E76,ORD-0532686-B6FD,PROD-02098-BC53,4,188.16,0.00
LINE-0532687-1-9252,ORD-0532687-2EAC,PROD-00258-91F0,3,166.74,0.00
