order_id,customer_id,order_number,order_date,required_date,shipped_date,status,total_amount,tax_amount,shipping_fee,payment_method,shipping_provider,tracking_number,source_channel,notes
ORD-0357991-DEEF,CUST-024031-8474,PO-357991,2023-10-06 21:50:03,2023-10-11 21:50:03,2023-10-08 21:50:03,Shipped,213.54,15.82,0.00,Credit Card,UPS,1Z357991,Web,
ORD-0357992-61F4,CUST-274908-637F,PO-357992,2025-12-26 19:24:58,2025-12-31 19:24:58,,Processing,646.83,47.91,0.00,Credit Card,,,Web,
ORD-0357993-F715,CUST-210201-9493,PO-357993,2025-03-25 16:03:13,2025-03-30 16:03:13,,Processing,1273.36,94.32,0.00,Credit Card,,,Web,
ORD-0357994-C40A,CUST-086182-5C2A,PO-357994,2025-08-23 08:33:44,2025-08-28 08:33:44,2025-08-25 08:33:44,Delivered,618.82,45.84,0.00,Credit Card,UPS,1Z357994,Web,
ORD-0357995-5787,CUST-406835-4997,PO-357995,2026-02-25 02:58:17,2026-03-02 02:58:17,2026-02-27 02:58:17,Delivered,88.24,6.54,0.00,Credit Card,UPS,1Z357995,Web,
ORD-0357996-E833,CUST-283971-AE2A,PO-357996,2025-07-05 20:39:47,2025-07-10 20:39:47,2025-07-07 20:39:47,Shipped,215.68,15.98,0.00,Credit Card,UPS,1Z357996,Web,
ORD-0357997-6E43,CUST-343664-0E4F,PO-357997,2025-03-19 16:18:14,2025-03-24 16:18:14,2025-03-21 16:18:14,Delivered,111.56,8.26,0.00,Credit Card,UPS,1Z357997,Web,
ORD-0357998-1A61,CUST-359765-DAE2,PO-357998,2025-06-13 04:13:58,2025-06-18 04:13:58,,Processing,347.44,25.74,0.00,Credit Card,,,Web,
ORD-0357999-53B9,CUST-310993-A59A,PO-357999,2024-07-09 19:08:43,2024-07-14 19:08:43,2024-07-11 19:08:43,Shipped,218.55,16.19,0.00,Credit Card,UPS,1Z357999,Web,
ORD-0358000-A865,CUST-327858-BCC1,PO-358000,2023-08-13 11:08:26,2023-08-18 11:08:26,2023-08-15 11:08:26,Shipped,1697.95,125.77,0.00,Credit Card,UPS,1Z358000,Web,
ORD-0358001-D5AC,CUST-012709-A7CD,PO-358001,2026-05-05 12:39:31,2026-05-10 12:39:31,2026-05-07 12:39:31,Shipped,346.56,25.67,0.00,Credit Card,UPS,1Z358001,Web,
ORD-0358002-D16D,CUST-492092-0A1B,PO-358002,2024-05-01 09:49:03,2024-05-06 09:49:03,2024-05-03 09:49:03,Shipped,848.32,62.84,0.00,Credit Card,UPS,1Z358002,Web,
ORD-0358003-78AB,CUST-087142-0631,PO-358003,2024-03-27 20:59:28,2024-04-01 20:59:28,,Pending,129.36,9.58,0.00,Credit Card,,,Web,
ORD-0358004-0FF6,CUST-483004-7575,PO-358004,2024-09-19 11:14:01,2024-09-24 11:14:01,,Processing,244.97,18.15,0.00,Credit Card,,,Web,
ORD-0358005-C514,CUST-258655-F58B,PO-358005,2025-09-18 09:01:21,2025-09-23 09:01:21,2025-09-20 09:01:21,Shipped,126.41,9.36,0.00,Credit Card,UPS,1Z358005,Web,
ORD-0358006-A2A7,CUST-409013-E720,PO-358006,2025-07-13 23:25:07,2025-07-18 23:25:07,2025-07-15 23:25:07,Delivered,2265.41,167.81,0.00,Credit Card,UPS,1Z358006,Web,
ORD-0358007-03BA,CUST-055850-E3DB,PO-358007,2024-12-19 16:35:00,2024-12-24 16:35:00,,Pending,826.96,61.26,0.00,Credit Card,,,Web,
ORD-0358008-8897,CUST-448662-7B3D,PO-358008,2026-05-24 13:36:12,2026-05-29 13:36:12,,Pending,552.4,40.92,0.00,Credit Card,,,Web,
ORD-0358009-A7FD,CUST-144450-AD91,PO-358009,2024-04-06 04:40:32,2024-04-11 04:40:32,2024-04-08 04:40:32,Delivered,1714.18,126.98,0.00,Credit Card,UPS,1Z358009,Web,
ORD-0358010-6B2D,CUST-359753-1337,PO-358010,2024-07-24 01:24:15,2024-07-29 01:24:15,,Processing,634.2,46.98,0.00,Credit Card,,,Web,
ORD-0358011-9D52,CUST-174328-3B98,PO-358011,2024-09-10 03:01:03,2024-09-15 03:01:03,,Processing,230.23,17.05,0.00,Credit Card,,,Web,
ORD-0358012-3707,CUST-101428-3185,PO-358012,2024-04-23 14:10:19,2024-04-28 14:10:19,2024-04-25 14:10:19,Delivered,217.6,16.12,0.00,Credit Card,UPS,1Z358012,Web,
ORD-0358013-90D7,CUST-356145-E29B,PO-358013,2025-01-24 20:08:49,2025-01-29 20:08:49,,Pending,899.83,66.65,0.00,Credit Card,,,Web,
ORD-0358014-F17F,CUST-218256-B512,PO-358014,2023-10-28 22:26:38,2023-11-02 22:26:38,2023-10-30 22:26:38,Shipped,808.8,59.91,0.00,Credit Card,UPS,1Z358014,Web,
ORD-0358015-A7E9,CUST-142425-07B1,PO-358015,2024-08-26 11:47:43,2024-08-31 11:47:43,2024-08-28 11:47:43,Delivered,578.45,42.85,0.00,Credit Card,UPS,1Z358015,Web,
ORD-0358016-3D22,CUST-070238-F218,PO-358016,2025-07-24 12:24:14,2025-07-29 12:24:14,2025-07-26 12:24:14,Delivered,1236.81,91.62,0.00,Credit Card,UPS,1Z358016,Web,
ORD-0358017-2345,CUST-338200-C6CD,PO-358017,2025-04-24 04:00:19,2025-04-29 04:00:19,2025-04-26 04:00:19,Shipped,1366.68,101.24,0.00,Credit Card,UPS,1Z358017,Web,
ORD-0358018-70A9,CUST-038219-C608,PO-358018,2024-12-17 05:35:25,2024-12-22 05:35:25,,Processing,92.59,6.86,0.00,Credit Card,,,Web,
ORD-0358019-04F5,CUST-320271-1EF0,PO-358019,2024-12-15 18:05:35,2024-12-20 18:05:35,,Pending,252.59,18.71,0.00,Credit Card,,,Web,
ORD-0358020-CCA1,CUST-125955-1564,PO-358020,2024-02-17 21:27:11,2024-02-22 21:27:11,2024-02-19 21:27:11,Shipped,63.85,4.73,0.00,Credit Card,UPS,1Z358020,Web,
ORD-0358021-813B,CUST-262314-CA26,PO-358021,2025-07-10 11:04:16,2025-07-15 11:04:16,2025-07-12 11:04:16,Shipped,88.86,6.58,0.00,Credit Card,UPS,1Z358021,Web,
ORD-0358022-7FF8,CUST-389346-11E5,PO-358022,2023-10-10 18:05:59,2023-10-15 18:05:59,,Pending,849.66,62.94,0.00,Credit Card,,,Web,
ORD-0358023-9102,CUST-400655-5E3D,PO-358023,2023-10-14 04:16:23,2023-10-19 04:16:23,,Pending,1281.01,94.89,0.00,Credit Card,,,Web,
ORD-0358024-ECD0,CUST-026293-5E69,PO-358024,2023-08-17 06:50:44,2023-08-22 06:50:44,,Processing,352.62,26.12,0.00,Credit Card,,,Web,
ORD-0358025-CEDB,CUST-323747-8B1C,PO-358025,2023-08-28 21:59:36,2023-09-02 21:59:36,2023-08-30 21:59:36,Shipped,659.22,48.83,0.00,Credit Card,UPS,1Z358025,Web,
ORD-0358026-18C5,CUST-057375-49D1,PO-358026,2023-08-03 07:02:16,2023-08-08 07:02:16,2023-08-05 07:02:16,Shipped,53.59,3.97,0.00,Credit Card,UPS,1Z358026,Web,
ORD-0358027-A81E,CUST-460622-595B,PO-358027,2025-12-09 00:58:52,2025-12-14 00:58:52,,Processing,392.91,29.1,0.00,Credit Card,,,Web,
ORD-0358028-2564,CUST-251245-9CCC,PO-358028,2025-11-17 14:02:53,2025-11-22 14:02:53,,Processing,2365.48,175.22,0.00,Credit Card,,,Web,
ORD-0358029-84E4,CUST-398218-F5E9,PO-358029,2024-08-20 12:43:24,2024-08-25 12:43:24,,Pending,293.11,21.71,0.00,Credit Card,,,Web,
ORD-0358030-3155,CUST-475752-4DEA,PO-358030,2024-01-01 22:35:12,2024-01-06 22:35:12,2024-01-03 22:35:12,Delivered,198.81,14.73,0.00,Credit Card,UPS,1Z358030,Web,
ORD-0358031-45F5,CUST-023488-F245,PO-358031,2026-01-04 07:46:04,2026-01-09 07:46:04,,Pending,447.27,33.13,0.00,Credit Card,,,Web,
ORD-0358032-A1CC,CUST-098639-CFBA,PO-358032,2025-06-06 11:44:00,2025-06-11 11:44:00,2025-06-08 11:44:00,Delivered,429.86,31.84,0.00,Credit Card,UPS,1Z358032,Web,
ORD-0358033-FF39,CUST-067059-DE63,PO-358033,2025-08-16 12:01:02,2025-08-21 12:01:02,,Processing,594.95,44.07,0.00,Credit Card,,,Web,
ORD-0358034-7016,CUST-025263-12B8,PO-358034,2024-10-07 15:49:33,2024-10-12 15:49:33,2024-10-09 15:49:33,Delivered,247.37,18.32,0.00,Credit Card,UPS,1Z358034,Web,
ORD-0358035-2C3A,CUST-371881-8DDB,PO-358035,2025-01-21 22:14:42,2025-01-26 22:14:42,2025-01-23 22:14:42,Delivered,1702.81,126.13,0.00,Credit Card,UPS,1Z358035,Web,
ORD-0358036-96C1,CUST-451904-5295,PO-358036,2025-01-18 20:05:41,2025-01-23 20:05:41,,Pending,727.62,53.9,0.00,Credit Card,,,Web,
ORD-0358037-D17D,CUST-319168-3349,PO-358037,2025-08-29 05:20:54,2025-09-03 05:20:54,2025-08-31 05:20:54,Delivered,864.99,64.07,0.00,Credit Card,UPS,1Z358037,Web,
ORD-0358038-BA8A,CUST-346165-99CD,PO-358038,2024-05-18 13:26:08,2024-05-23 13:26:08,2024-05-20 13:26:08,Delivered,1042.37,77.21,0.00,Credit Card,UPS,1Z358038,Web,
ORD-0358039-9498,CUST-339981-0880,PO-358039,2023-11-05 02:25:24,2023-11-10 02:25:24,2023-11-07 02:25:24,Delivered,417.06,30.89,0.00,Credit Card,UPS,1Z358039,Web,
ORD-0358040-9A4E,CUST-458297-5396,PO-358040,2024-07-28 15:24:38,2024-08-02 15:24:38,,Pending,1928.87,142.88,0.00,Credit Card,,,Web,
ORD-0358041-0785,CUST-477070-D293,PO-358041,2026-01-22 03:20:33,2026-01-27 03:20:33,2026-01-24 03:20:33,Shipped,164.24,12.17,0.00,Credit Card,UPS,1Z358041,Web,
ORD-0358042-1063,CUST-470316-3CCB,PO-358042,2024-12-30 09:08:22,2025-01-04 09:08:22,,Pending,1543.08,114.3,0.00,Credit Card,,,Web,
ORD-0358043-903A,CUST-327887-A877,PO-358043,2025-07-06 13:28:32,2025-07-11 13:28:32,2025-07-08 13:28:32,Delivered,1446.15,107.12,0.00,Credit Card,UPS,1Z358043,Web,
ORD-0358044-AF44,CUST-285463-CFAF,PO-358044,2024-12-06 01:50:31,2024-12-11 01:50:31,,Pending,584.19,43.27,0.00,Credit Card,,,Web,
ORD-0358045-27AC,CUST-184806-4C1E,PO-358045,2025-07-29 16:00:16,2025-08-03 16:00:16,2025-07-31 16:00:16,Shipped,283.54,21.0,0.00,Credit Card,UPS,1Z358045,Web,
ORD-0358046-8D20,CUST-288061-1358,PO-358046,2025-03-15 17:09:03,2025-03-20 17:09:03,,Processing,1165.57,86.34,0.00,Credit Card,,,Web,
ORD-0358047-E478,CUST-378849-6581,PO-358047,2023-11-09 18:05:43,2023-11-14 18:05:43,,Processing,329.38,24.4,0.00,Credit Card,,,Web,
ORD-0358048-AB55,CUST-310600-ED4B,PO-358048,2024-06-21 08:23:39,2024-06-26 08:23:39,,Pending,1365.7,101.16,0.00,Credit Card,,,Web,
ORD-0358049-43F1,CUST-492510-4A4E,PO-358049,2024-04-08 23:20:08,2024-04-13 23:20:08,2024-04-10 23:20:08,Shipped,1648.58,122.12,0.00,Credit Card,UPS,1Z358049,Web,
ORD-0358050-E686,CUST-047631-8A5D,PO-358050,2023-07-29 08:02:38,2023-08-03 08:02:38,2023-07-31 08:02:38,Shipped,1234.2,91.42,0.00,Credit Card,UPS,1Z358050,Web,
ORD-0358051-181F,CUST-183482-A432,PO-358051,2025-10-03 22:55:39,2025-10-08 22:55:39,,Processing,806.09,59.71,0.00,Credit Card,,,Web,
ORD-0358052-2BAC,CUST-363873-0320,PO-358052,2025-10-18 15:18:12,2025-10-23 15:18:12,,Processing,1765.75,130.8,0.00,Credit Card,,,Web,
